docTokenBegin,text,ner,nerConfidences,title,clean_text,clean_text_others
5360,Boone,PERSON,{'PERSON': 0.99877951145465},the_man_with_the_twisted_lip,Boone,other
5363,Neville St. Clair,PERSON,{'PERSON': 0.98719402917281},the_man_with_the_twisted_lip,Neville St. Clair,Neville St. Clair
5595,Boone,PERSON,{'PERSON': 0.98878455053663},the_man_with_the_twisted_lip,Boone,other
5669,Neville St. Clair,PERSON,{'PERSON': 0.90496275193082},the_man_with_the_twisted_lip,Neville St. Clair,Neville St. Clair
5693,Hugh Boone,PERSON,{'PERSON': 0.99998252574164},the_man_with_the_twisted_lip,Hugh Boone,other
5741,Sherlock Holmes,PERSON,{'PERSON': 0.99926909056418},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
5818,Lee,LOCATION,{'PERSON': 0.96152985933921},the_man_with_the_twisted_lip,Lee,Lee
5831,English,MISC,{'MISC': 0.99999993400252},the_man_with_the_twisted_lip,English,English
5840,Middlesex,LOCATION,{'LOCATION': 0.90855730498929},the_man_with_the_twisted_lip,Middlesex,Middlesex
5847,Surrey,LOCATION,{'LOCATION': 0.91748547758284},the_man_with_the_twisted_lip,Surrey,Surrey
5852,Kent,LOCATION,{'LOCATION': 0.77992666411049},the_man_with_the_twisted_lip,Kent,Kent
5863,The Cedars,LOCATION,,the_man_with_the_twisted_lip,The Cedars,The Cedars
5904,Baker Street,LOCATION,{'LOCATION': 0.88174765707992},the_man_with_the_twisted_lip,Baker Street,Baker Street
5924,Mrs. St. Clair,PERSON,,the_man_with_the_twisted_lip,Mrs. St. Clair,Mrs. St. Clair
5962,Watson,PERSON,{'PERSON': 0.95182335327007},the_man_with_the_twisted_lip,John H. Watson,John H. Watson
6020,Holmes,PERSON,{'PERSON': 0.96943736389636},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
6222,Watson,PERSON,{'PERSON': 0.99929612212688},the_man_with_the_twisted_lip,John H. Watson,John H. Watson
6369,Mr. Sherlock Holmes,PERSON,,the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
6482,Neville,PERSON,{'PERSON': 0.97279889702258},the_man_with_the_twisted_lip,Neville,other
6487,Sherlock Holmes,PERSON,{'PERSON': 0.99809499584813},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
6580,Monday,DATE,{'DATE': 0.99608562778659},the_man_with_the_twisted_lip,Monday,Monday
6587,Mr. Holmes,PERSON,,the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
6613,Sherlock Holmes,PERSON,{'PERSON': 0.99975784910909},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
6720,Gravesend,LOCATION,{'LOCATION': 0.70847880515505},the_man_with_the_twisted_lip,Gravesend,Gravesend
6743,midnight,TIME,{'TIME': 0.86539504599957},the_man_with_the_twisted_lip,midnight,midnight
6751,Holmes,PERSON,{'PERSON': 0.8497497653112},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
7022,Neville,PERSON,{'PERSON': 0.90312830041872},the_man_with_the_twisted_lip,Neville,other
7051,Gravesend,LOCATION,{'LOCATION': 0.99361079431046},the_man_with_the_twisted_lip,Gravesend,Gravesend
7106,Neville,PERSON,{'PERSON': 0.99489241143741},the_man_with_the_twisted_lip,Neville,other
7121,Gravesend,LOCATION,{'LOCATION': 0.99559760307106},the_man_with_the_twisted_lip,Gravesend,Gravesend
7125,Mrs. St. Clair,PERSON,,the_man_with_the_twisted_lip,Mrs. St. Clair,Mrs. St. Clair
7154,Mr. Holmes,PERSON,,the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
7220,Monday,DATE,{'DATE': 0.99960209352404},the_man_with_the_twisted_lip,Monday,Monday
7255,Mr. Holmes,PERSON,,the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
7421,Monday,DATE,{'DATE': 0.98337924772369},the_man_with_the_twisted_lip,Monday,Monday
7444,Swandam Lane,LOCATION,{'LOCATION': 0.96723241382926},the_man_with_the_twisted_lip,Swandam Lane,Swandam Lane
7654,Swandam Lane,LOCATION,{'LOCATION': 0.77657636551326},the_man_with_the_twisted_lip,Swandam Lane,Swandam Lane
7683,Mrs. St. Clair,PERSON,,the_man_with_the_twisted_lip,Mrs. St. Clair,Mrs. St. Clair
7707,supper,DATE,{'DATE': 0.62812494318531},the_man_with_the_twisted_lip,supper,supper
7758,Sherlock Holmes,PERSON,{'PERSON': 0.99856855598262},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
7884,Eastern divan,MISC,{'MISC': 0.93362861370453},the_man_with_the_twisted_lip,Eastern divan,Eastern divan
7996,summer,DATE,{'DATE': 0.94202594537071},the_man_with_the_twisted_lip,summer,summer
8048,Watson,PERSON,{'PERSON': 0.9975514579875},the_man_with_the_twisted_lip,John H. Watson,John H. Watson
8160,Holmes,PERSON,{'PERSON': 0.99903958447732},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
8198,Watson,PERSON,{'PERSON': 0.9857384977983},the_man_with_the_twisted_lip,John H. Watson,John H. Watson
8216,Europe,LOCATION,{'LOCATION': 0.99907737262811},the_man_with_the_twisted_lip,Europe,Europe
8226,Charing Cross,ORGANIZATION,{'ORGANIZATION': 0.72944956172506},the_man_with_the_twisted_lip,Charing Cross,Charing Cross
8304,Gladstone,PERSON,{'PERSON': 0.56420974199214},the_man_with_the_twisted_lip,Gladstone,Gladstone
8377,London Road,LOCATION,{'LOCATION': 0.98454131369831},the_man_with_the_twisted_lip,London Road,London Road
8427,Holmes,PERSON,{'PERSON': 0.95139001237523},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
8489,Surrey,LOCATION,{'ORGANIZATION': 0.51850164635629},the_man_with_the_twisted_lip,Surrey,Surrey
8495,Waterloo Bridge Road,LOCATION,{'LOCATION': 0.99806796251012},the_man_with_the_twisted_lip,Waterloo Bridge Road,Waterloo Bridge Road
8507,Wellington,LOCATION,{'LOCATION': 0.99490677670096},the_man_with_the_twisted_lip,Wellington,Wellington
8518,Bow Street,LOCATION,{'LOCATION': 0.52441938295411},the_man_with_the_twisted_lip,Bow Street,Bow Street
8521,Sherlock Holmes,PERSON,{'PERSON': 0.99921561978129},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
8563,Holmes,PERSON,{'PERSON': 0.95420626106334},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
8567,Bradstreet,PERSON,,the_man_with_the_twisted_lip,Bradstreet,Bradstreet
8575,Bradstreet,PERSON,,the_man_with_the_twisted_lip,Bradstreet,Bradstreet
8615,Bradstreet,PERSON,,the_man_with_the_twisted_lip,Bradstreet,Bradstreet
8621,Mr. Holmes,PERSON,,the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
8673,Mr. Holmes,PERSON,,the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
8684,Boone,PERSON,{'PERSON': 0.98933268839991},the_man_with_the_twisted_lip,Boone,other
8698,Mr. Neville St. Clair,PERSON,,the_man_with_the_twisted_lip,Mr. Neville St. Clair,Mr. Neville St. Clair
8704,Lee,LOCATION,{'PERSON': 0.89663811364813},the_man_with_the_twisted_lip,Lee,Lee
9137,Holmes,PERSON,{'PERSON': 0.95394281654608},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
9164,Gladstone,PERSON,{'PERSON': 0.42099919786555},the_man_with_the_twisted_lip,Gladstone,Gladstone
9255,Bow Street,MISC,{'MISC': 0.51002364233543},the_man_with_the_twisted_lip,Bow Street,Bow Street
9296,Holmes,PERSON,{'PERSON': 0.95684980707782},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
9334,Mr. Neville St. Clair,PERSON,,the_man_with_the_twisted_lip,Mr. Neville St. Clair,Mr. Neville St. Clair
9340,Lee,LOCATION,{'PERSON': 0.93771322376926},the_man_with_the_twisted_lip,Lee,Lee
9346,Kent,LOCATION,,the_man_with_the_twisted_lip,Kent,Kent
9551,Mr. Neville St.--Oh,PERSON,,the_man_with_the_twisted_lip,Mr. Neville St.--Oh,other
9611,Mr. Neville St. Clair,PERSON,,the_man_with_the_twisted_lip,Mr. Neville St. Clair,Mr. Neville St. Clair
9653,Holmes,PERSON,{'PERSON': 0.98241663387885},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
9713,Sherlock Holmes,PERSON,{'PERSON': 0.99963718663346},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
9800,Bradstreet,PERSON,,the_man_with_the_twisted_lip,Bradstreet,Bradstreet
9892,Chesterfield,LOCATION,{'LOCATION': 0.99631153842531},the_man_with_the_twisted_lip,Chesterfield,Chesterfield
9922,London,LOCATION,{'LOCATION': 0.99930733875583},the_man_with_the_twisted_lip,London,London
10356,Swandam Lane,LOCATION,{'LOCATION': 0.9964963957028},the_man_with_the_twisted_lip,Swandam Lane,Swandam Lane
10439,London,LOCATION,{'LOCATION': 0.99565242132068},the_man_with_the_twisted_lip,London,London
10573,Monday,DATE,{'DATE': 0.96116573923551},the_man_with_the_twisted_lip,Monday,Monday
10848,Mr. Neville St. Clair,PERSON,,the_man_with_the_twisted_lip,Mr. Neville St. Clair,Mr. Neville St. Clair
10953,Holmes,PERSON,{'PERSON': 0.97195291445125},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
10979,Bradstreet,PERSON,,the_man_with_the_twisted_lip,Bradstreet,Bradstreet
11027,Holmes,PERSON,{'PERSON': 0.96561757301133},the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
11073,Bradstreet,PERSON,,the_man_with_the_twisted_lip,Bradstreet,Bradstreet
11092,Hugh Boone,PERSON,{'PERSON': 0.99929782051021},the_man_with_the_twisted_lip,Hugh Boone,other
11148,Mr. Holmes,PERSON,,the_man_with_the_twisted_lip,Sherlock Holmes,Sherlock Holmes
11204,Watson,PERSON,{'PERSON': 0.98105076460959},the_man_with_the_twisted_lip,John H. Watson,John H. Watson
11211,Baker Street,LOCATION,{'LOCATION': 0.95293792142846},the_man_with_the_twisted_lip,Baker Street,Baker Street
74,Holmes,PERSON,{'PERSON': 0.98062490890715},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
137,"June, 1902",DATE,{'DATE': 0.99940153111574},the_adventure_of_the_three_garridebs,"June, 1902","June, 1902"
147,South African War,MISC,{'MISC': 0.93938617453845},the_adventure_of_the_three_garridebs,South African War,South African War
151,Holmes,PERSON,{'PERSON': 0.9871991419048},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
205,Watson,PERSON,{'PERSON': 0.99607495328356},the_adventure_of_the_three_garridebs,John H. Watson,John H. Watson
219,Garrideb,PERSON,{'PERSON': 0.72391609477267},the_adventure_of_the_three_garridebs,Garrideb,other
370,Holmes,PERSON,{'PERSON': 0.97975868149819},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
377,Holmes,PERSON,{'PERSON': 0.99669299122096},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
412,Watson,PERSON,{'PERSON': 0.94969701023816},the_adventure_of_the_three_garridebs,John H. Watson,John H. Watson
437,Mrs. Hudson,PERSON,,the_adventure_of_the_three_garridebs,Mrs. Hudson,Mrs. Hudson
478,John Garrideb,PERSON,{'PERSON': 0.99891671522907},the_adventure_of_the_three_garridebs,John Garrideb,other
485,Moorville,LOCATION,{'LOCATION': 0.74686106269619},the_adventure_of_the_three_garridebs,Moorville,Moorville
487,Kansas,LOCATION,{'LOCATION': 0.97782568010902},the_adventure_of_the_three_garridebs,Kansas,Kansas
489,"U. S. A.""

Holmes",PERSON,{'PERSON': 0.82777961883029},the_adventure_of_the_three_garridebs,"U. S. A.""

Holmes",other
513,Watson,PERSON,{'PERSON': 0.97028839068401},the_adventure_of_the_three_garridebs,John H. Watson,John H. Watson
538,this morning,TIME,{'TIME': 0.7452620081058},the_adventure_of_the_three_garridebs,this morning,this morning
570,Mr. John Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. John Garrideb,other
598,American,MISC,{'MISC': 0.99996155494632},the_adventure_of_the_three_garridebs,American,American
677,American,MISC,{'MISC': 0.9999468531263},the_adventure_of_the_three_garridebs,American,American
690,Mr. Holmes,PERSON,,the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
735,Mr. Nathan Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. Nathan Garrideb,Mr. Nathan Garrideb
751,Sherlock Holmes,PERSON,{'PERSON': 0.99952709430095},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
785,Mr. John Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. John Garrideb,other
799,England,LOCATION,{'LOCATION': 0.99920272565594},the_adventure_of_the_three_garridebs,England,England
811,Mr. Holmes,PERSON,,the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
831,English,MISC,{'MISC': 0.99994527153331},the_adventure_of_the_three_garridebs,English,English
834,Mr. Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. Garrideb,Mr. Garrideb
848,Mr. Holmes,PERSON,,the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
928,London,LOCATION,{'LOCATION': 0.96226140569538},the_adventure_of_the_three_garridebs,London,London
968,Holmes,PERSON,{'PERSON': 0.96741891865691},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
993,Mr. Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. Garrideb,Mr. Garrideb
1007,Watson,PERSON,{'PERSON': 0.99992388875601},the_adventure_of_the_three_garridebs,John H. Watson,John H. Watson
1033,Mr. Nathan Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. Nathan Garrideb,Mr. Nathan Garrideb
1101,this morning,TIME,{'TIME': 0.96451028149338},the_adventure_of_the_three_garridebs,this morning,this morning
1145,Mr. Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. Garrideb,Mr. Garrideb
1228,this morning,TIME,{'TIME': 0.82688292155029},the_adventure_of_the_three_garridebs,this morning,this morning
1297,Holmes,PERSON,{'PERSON': 0.98184873261756},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
1332,Mr. Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. Garrideb,Mr. Garrideb
1391,Kansas,LOCATION,{'LOCATION': 0.93306830063576},the_adventure_of_the_three_garridebs,Kansas,Kansas
1401,Alexander Hamilton Garrideb,PERSON,{'PERSON': 0.99887717165329},the_adventure_of_the_three_garridebs,Alexander Hamilton Garrideb,other
1421,Chicago,LOCATION,{'LOCATION': 0.98869998166669},the_adventure_of_the_three_garridebs,Chicago,Chicago
1444,Arkansas River,LOCATION,{'LOCATION': 0.99887865929124},the_adventure_of_the_three_garridebs,Arkansas River,Arkansas River
1449,Fort Dodge,LOCATION,{'LOCATION': 0.98573376158397},the_adventure_of_the_three_garridebs,Fort Dodge,Fort Dodge
1533,Topeka,LOCATION,{'LOCATION': 0.99618277406776},the_adventure_of_the_three_garridebs,Topeka,Topeka
1616,Garridebs,LOCATION,{'LOCATION': 0.45294040268304},the_adventure_of_the_three_garridebs,Garridebs,Garridebs
1703,Kansas,LOCATION,{'LOCATION': 0.99107523119695},the_adventure_of_the_three_garridebs,Kansas,Kansas
1725,Garridebs,PERSON,{'PERSON': 0.48654141980184},the_adventure_of_the_three_garridebs,Garridebs,other
1734,five million dollars,MONEY,{'MONEY': 0.9920772595291},the_adventure_of_the_three_garridebs,five million dollars,five million dollars
1792,United States,LOCATION,{'LOCATION': 0.99966474545252},the_adventure_of_the_three_garridebs,United States,United States
1811,Garrideb,MISC,{'MISC': 0.79927545750636},the_adventure_of_the_three_garridebs,Garrideb,Garrideb
1831,London,LOCATION,{'LOCATION': 0.99296146603279},the_adventure_of_the_three_garridebs,London,London
1909,Watson,PERSON,{'PERSON': 0.94747346561044},the_adventure_of_the_three_garridebs,John H. Watson,John H. Watson
1913,Holmes,PERSON,{'PERSON': 0.99210723317976},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
1959,Mr. Holmes,PERSON,,the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
2005,Topeka,LOCATION,{'LOCATION': 0.98292168460729},the_adventure_of_the_three_garridebs,Topeka,Topeka
2020,Dr. Lysander Starr,PERSON,,the_adventure_of_the_three_garridebs,Dr. Lysander Starr,Dr. Lysander Starr
2028,1890,DATE,{'DATE': 0.98362216811327},the_adventure_of_the_three_garridebs,1890,1890
2035,Starr,PERSON,{'PERSON': 0.99966960280249},the_adventure_of_the_three_garridebs,Starr,other
2051,Mr. Holmes,PERSON,,the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
2089,American,MISC,{'MISC': 0.99992406961563},the_adventure_of_the_three_garridebs,American,American
2094,Holmes,PERSON,{'PERSON': 0.99683713219111},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
2128,Watson,PERSON,{'PERSON': 0.96914564895689},the_adventure_of_the_three_garridebs,John H. Watson,John H. Watson
2139,Holmes,PERSON,{'PERSON': 0.99737635695559},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
2152,Watson,PERSON,{'PERSON': 0.9028718280143},the_adventure_of_the_three_garridebs,John H. Watson,John H. Watson
2213,English,MISC,{'MISC': 0.9999996351532},the_adventure_of_the_three_garridebs,English,English
2245,American,MISC,{'MISC': 0.99822634384296},the_adventure_of_the_three_garridebs,American,American
2249,London,LOCATION,{'LOCATION': 0.99897934180123},the_adventure_of_the_three_garridebs,London,London
2297,Dr. Lysander Starr,PERSON,,the_adventure_of_the_three_garridebs,Dr. Lysander Starr,Dr. Lysander Starr
2302,Topeka,LOCATION,{'LOCATION': 0.99631555462554},the_adventure_of_the_three_garridebs,Topeka,Topeka
2320,American,MISC,{'MISC': 0.99998577924884},the_adventure_of_the_three_garridebs,American,American
2332,London,LOCATION,{'LOCATION': 0.98663949751045},the_adventure_of_the_three_garridebs,London,London
2396,Watson,PERSON,{'PERSON': 0.91358410030077},the_adventure_of_the_three_garridebs,John H. Watson,John H. Watson
2425,Mr. Nathan Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. Nathan Garrideb,Mr. Nathan Garrideb
2430,Mr. Holmes,PERSON,,the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
2444,Mr. Holmes,PERSON,,the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
2506,home this evening,TIME,{'TIME': 0.90949638882266},the_adventure_of_the_three_garridebs,home this evening,home this evening
2540,Watson,PERSON,{'PERSON': 0.99975973089632},the_adventure_of_the_three_garridebs,John H. Watson,John H. Watson
2577,American,MISC,{'MISC': 0.99992376927306},the_adventure_of_the_three_garridebs,American,American
2595,spring,DATE,{'DATE': 0.89348593468875},the_adventure_of_the_three_garridebs,spring,spring
2611,Edgware Road,LOCATION,{'LOCATION': 0.95804711408013},the_adventure_of_the_three_garridebs,Edgware Road,Edgware Road
2657,Georgian,MISC,{'MISC': 0.99174336279276},the_adventure_of_the_three_garridebs,Georgian,Georgian
2712,Holmes,PERSON,{'PERSON': 0.99157336311155},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
2733,Watson,PERSON,{'PERSON': 0.90879881397826},the_adventure_of_the_three_garridebs,John H. Watson,John H. Watson
2802,Bohemian,MISC,{'MISC': 0.97873527386302},the_adventure_of_the_three_garridebs,Bohemian,Bohemian
2827,Mr. Nathan Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. Nathan Garrideb,Mr. Nathan Garrideb
3052,Heidelberg,LOCATION,{'LOCATION': 0.84000756418491},the_adventure_of_the_three_garridebs,Heidelberg,Heidelberg
3056,Cro-Magnon,MISC,{'MISC': 0.67104222147368},the_adventure_of_the_three_garridebs,Cro-Magnon,Cro-Magnon
3140,Alexandrian,MISC,{'MISC': 0.98923497759236},the_adventure_of_the_three_garridebs,Alexandrian,Alexandrian
3150,Mr. Holmes,PERSON,,the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
3171,Watson,PERSON,{'PERSON': 0.99913286167256},the_adventure_of_the_three_garridebs,John H. Watson,John H. Watson
3182,Japanese,MISC,{'MISC': 0.99999905214656},the_adventure_of_the_three_garridebs,Japanese,Japanese
3244,Holmes,PERSON,{'PERSON': 0.98023725538278},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
3275,Sotheby,ORGANIZATION,{'ORGANIZATION': 0.95809864942345},the_adventure_of_the_three_garridebs,Sotheby,Sotheby
3278,Christie,ORGANIZATION,{'ORGANIZATION': 0.50441135407502},the_adventure_of_the_three_garridebs,Christie,Christie
3307,Mr. Holmes,PERSON,,the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
3398,American,MISC,{'MISC': 0.99991283082805},the_adventure_of_the_three_garridebs,American,American
3432,Holmes,PERSON,{'PERSON': 0.98638200575221},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
3445,America,LOCATION,{'LOCATION': 0.9938901181712},the_adventure_of_the_three_garridebs,America,America
3484,Five million dollars,MONEY,{'MONEY': 0.95393862381088},the_adventure_of_the_three_garridebs,Five million dollars,Five million dollars
3533,five million dollars,MONEY,{'MONEY': 0.9856500169757},the_adventure_of_the_three_garridebs,five million dollars,five million dollars
3552,Hans Sloane,PERSON,{'PERSON': 0.96907806983556},the_adventure_of_the_three_garridebs,Hans Sloane,other
3578,Mr. Nathan Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. Nathan Garrideb,Mr. Nathan Garrideb
3609,Holmes,PERSON,{'PERSON': 0.98895227775499},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
3653,American,MISC,{'MISC': 0.99995249854425},the_adventure_of_the_three_garridebs,American,American
3680,Tuesday,DATE,{'DATE': 0.99915393859131},the_adventure_of_the_three_garridebs,Tuesday,Tuesday
3829,Holmes,PERSON,{'PERSON': 0.98726122675022},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
3914,Holmes,PERSON,{'PERSON': 0.96760426872923},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
3936,American,MISC,{'MISC': 0.9999223329147},the_adventure_of_the_three_garridebs,American,American
3972,Mr. Nathan Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. Nathan Garrideb,Mr. Nathan Garrideb
4001,Mr. Holmes,PERSON,,the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
4038,Holmes,PERSON,{'PERSON': 0.99070940698018},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
4056,Howard Garrideb Constructor of Agricultural Machinery Binders,ORGANIZATION,{'ORGANIZATION': 0.90687131220249},the_adventure_of_the_three_garridebs,Howard Garrideb Constructor of Agricultural Machinery Binders,Howard Garrideb Constructor of Agricultural Machinery Binders
4088,Artesian Wells Apply Grosvenor Buildings,ORGANIZATION,{'ORGANIZATION': 0.63808931962841},the_adventure_of_the_three_garridebs,Artesian Wells Apply Grosvenor Buildings,Artesian Wells Apply Grosvenor Buildings
4094,Aston,LOCATION,{'LOCATION': 0.47093672362517},the_adventure_of_the_three_garridebs,Aston,Aston
4118,Birmingham,LOCATION,{'LOCATION': 0.9520390300157},the_adventure_of_the_three_garridebs,Birmingham,Birmingham
4123,American,MISC,{'MISC': 0.99999488023511},the_adventure_of_the_three_garridebs,American,American
4190,Mr. Holmes,PERSON,,the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
4208,American,MISC,{'MISC': 0.99948794448364},the_adventure_of_the_three_garridebs,American,American
4227,Britisher,MISC,{'MISC': 0.65840689502304},the_adventure_of_the_three_garridebs,Britisher,Britisher
4297,Mr. Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. Garrideb,Mr. Garrideb
4372,America,LOCATION,{'LOCATION': 0.9683168687018},the_adventure_of_the_three_garridebs,America,America
4400,Holmes,PERSON,{'PERSON': 0.98687879174873},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
4414,Mr. Nathan Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. Nathan Garrideb,Mr. Nathan Garrideb
4473,Holmes,PERSON,{'PERSON': 0.96393937383224},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
4503,American,MISC,{'MISC': 0.99996058023119},the_adventure_of_the_three_garridebs,American,American
4532,Mr. Nathan,PERSON,,the_adventure_of_the_three_garridebs,Mr. Nathan,other
4540,Birmingham,LOCATION,{'LOCATION': 0.98273072348177},the_adventure_of_the_three_garridebs,Birmingham,Birmingham
4546,Mr. Holmes,PERSON,,the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
4581,American,MISC,{'MISC': 0.99998020961011},the_adventure_of_the_three_garridebs,American,American
4605,Mr. Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. Garrideb,Mr. Garrideb
4758,Mrs. Saunders,PERSON,,the_adventure_of_the_three_garridebs,Mrs. Saunders,other
4797,Mrs. Saunders,PERSON,,the_adventure_of_the_three_garridebs,Mrs. Saunders,other
4828,Holloway,PERSON,{'PERSON': 0.95313522855716},the_adventure_of_the_three_garridebs,Holloway,other
4830,Steele,PERSON,{'PERSON': 0.95307804091488},the_adventure_of_the_three_garridebs,Steele,other
4834,Edgware Road,LOCATION,{'LOCATION': 0.86731026940697},the_adventure_of_the_three_garridebs,Edgware Road,Edgware Road
4858,Holmes,PERSON,{'PERSON': 0.96426183558128},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
4869,Queen Anne,PERSON,{'PERSON': 0.57790697161582},the_adventure_of_the_three_garridebs,Queen Anne,other
4872,Georgian,MISC,{'MISC': 0.99970087012115},the_adventure_of_the_three_garridebs,Georgian,Georgian
4876,Georgian,MISC,{'MISC': 0.99993720895352},the_adventure_of_the_three_garridebs,Georgian,Georgian
4906,Mr. Garrideb,PERSON,,the_adventure_of_the_three_garridebs,Mr. Garrideb,Mr. Garrideb
4917,Birmingham,LOCATION,{'LOCATION': 0.7551040320932},the_adventure_of_the_three_garridebs,Birmingham,Birmingham
4948,Baker Street,LOCATION,{'LOCATION': 0.99450019498835},the_adventure_of_the_three_garridebs,Baker Street,Baker Street
4958,Holmes,PERSON,{'PERSON': 0.99409044275091},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
5056,Watson,PERSON,{'PERSON': 0.85748533599626},the_adventure_of_the_three_garridebs,John H. Watson,John H. Watson
5069,English,MISC,{'MISC': 0.9999831725335},the_adventure_of_the_three_garridebs,English,English
5072,American,MISC,{'MISC': 0.99408753744202},the_adventure_of_the_three_garridebs,American,American
5089,American,MISC,{'MISC': 0.99982334741973},the_adventure_of_the_three_garridebs,American,American
5107,American,MISC,{'MISC': 0.99998517945503},the_adventure_of_the_three_garridebs,American,American
5116,English,MISC,{'MISC': 0.99999883180331},the_adventure_of_the_three_garridebs,English,English
5134,American,MISC,{'MISC': 0.99984104687292},the_adventure_of_the_three_garridebs,American,American
5171,Birmingham,LOCATION,{'LOCATION': 0.99219179106323},the_adventure_of_the_three_garridebs,Birmingham,Birmingham
5217,Watson,PERSON,{'PERSON': 0.93608866910512},the_adventure_of_the_three_garridebs,John H. Watson,John H. Watson
5230,Holmes,PERSON,{'PERSON': 0.9891540121718},the_adventure_of_the_three_garridebs,Sherlock Holmes,Sherlock Holmes
5263,Watson,PERSON,{'PERSON': 0.95084893364423},the_adventure_of_the_three_garridebs,John H. Watson,John H. Watson
